Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,352.4706421,0,10726.6582,14.95888805,0,0,0
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,343.0795898,0,10730.2627,14.68468761,0,0,0
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,338.2181396,0,10715.16016,14.99352169,0,0,0
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,334.0004883,0,10704.47559,14.29999924,0,0,0
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,326.897644,0,10712.39355,11.59173393,0,0,0
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,322.7658081,0,10718.76465,12.97584629,0,0,0
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,321.6985474,0,10724.32031,16.20260811,0,0,0
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,319.6749878,0,10736.9873,17.61560059,0,0,0
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,317.9347534,0,10735.41309,18.25777817,0,0,0
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,314.2312317,0,10742.82813,17.94248772,0,0,0
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,310.5402222,0,10736.96875,18.27706528,0,0,0
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,307.3136902,0,10732.90234,16.16967392,0,0,0
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,308.2654114,0,10740.33301,19.40446663,0,0,0
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,306.7171631,0,10737.50586,19.37905884,0,0,0
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,306.1490479,0,10746.05762,19.86270523,0,0,0
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,305.7077332,0,10752.25879,21.39045715,0,0,0
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,308.6365967,0,10740.81543,20.22510719,0,0,0
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,316.6396179,0,10728.98438,22.30768394,0,0,0
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,320.3547058,0,10733.22656,20.6010952,0,0,0
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,329.4021912,0,10737.57031,23.00701904,0,0,0
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,332.7508545,0,10736.17773,21.09326935,0,0,0
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,339.9951172,0,10742.58984,20.94355965,0,0,0
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,321.9803467,0,10746.37109,28.91354179,0,0,0
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,288.2818909,0,10757.18457,40.12586594,0,0,0
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,281.3267212,0,10786.26367,49.30982971,0,0,0
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,286.9216309,0,10823.92285,58.40981674,0,0,0
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,311.1335449,0,10842.6123,65.35887146,0,0,0
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,315.1705017,0,10842.06641,68.27799988,0,0,0
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,320.4369507,0,10819.09375,63.49640656,0,0,0
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,328.6399536,0,10812.28027,67.84716797,0,0,0
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,330.0565796,0,10834.66016,64.45727539,0,0,0
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,341.4712219,0,10826.04199,67.30201721,0,0,0
2023-Oct-01 08:15:00.000,2023-Oct-01 13:15:00.000,71.80725861,0,0,11.55662918,0,0,0.57208848
2023-Oct-01 08:30:00.000,2023-Oct-01 13:30:00.000,0,0,0,0,0,0,0
2023-Oct-01 08:45:00.000,2023-Oct-01 13:45:00.000,0,0,0,0,0,0,0
2023-Oct-01 09:00:00.000,2023-Oct-01 14:00:00.000,0,0,0,0,0,0,0
2023-Oct-01 09:15:00.000,2023-Oct-01 14:15:00.000,0,0,0,0,0,0,0
2023-Oct-01 09:30:00.000,2023-Oct-01 14:30:00.000,0,0,0,0,0,0,0
2023-Oct-01 09:45:00.000,2023-Oct-01 14:45:00.000,0,0,0,0,0,0,0
2023-Oct-01 10:00:00.000,2023-Oct-01 15:00:00.000,0,0,0,0,0,0,0
2023-Oct-01 10:15:00.000,2023-Oct-01 15:15:00.000,0,0,0,0,0,0,0
2023-Oct-01 10:30:00.000,2023-Oct-01 15:30:00.000,0,0,0,0,0,0,0
2023-Oct-01 10:45:00.000,2023-Oct-01 15:45:00.000,0,0,0,0,0,0,0
2023-Oct-01 11:00:00.000,2023-Oct-01 16:00:00.000,0,0,0,0,0,0,0
2023-Oct-01 11:15:00.000,2023-Oct-01 16:15:00.000,0,0,0,0,0,0,0
2023-Oct-01 11:30:00.000,2023-Oct-01 16:30:00.000,0,0,0,0,0,0,0
2023-Oct-01 11:45:00.000,2023-Oct-01 16:45:00.000,0,0,0,0,0,0,0
2023-Oct-01 12:00:00.000,2023-Oct-01 17:00:00.000,0,0,0,0,0,0,0
2023-Oct-01 12:15:00.000,2023-Oct-01 17:15:00.000,0,0,0,0,0,0,0
2023-Oct-01 12:30:00.000,2023-Oct-01 17:30:00.000,0,0,0,0,0,0,0
2023-Oct-01 12:45:00.000,2023-Oct-01 17:45:00.000,0,0,0,0,0,0,0
2023-Oct-01 13:00:00.000,2023-Oct-01 18:00:00.000,0,0,0,0,0,0,0
2023-Oct-01 13:15:00.000,2023-Oct-01 18:15:00.000,0,0,0,0,0,0,0
2023-Oct-01 13:30:00.000,2023-Oct-01 18:30:00.000,0,0,0,0,0,0,0
2023-Oct-01 13:45:00.000,2023-Oct-01 18:45:00.000,0,0,0,0,0,0,0
2023-Oct-01 14:00:00.000,2023-Oct-01 19:00:00.000,0,0,0,0,0,0,0
2023-Oct-01 14:15:00.000,2023-Oct-01 19:15:00.000,0,0,0,0,0,0,0
2023-Oct-01 14:30:00.000,2023-Oct-01 19:30:00.000,0,0,0,0,0,0,0
2023-Oct-01 14:45:00.000,2023-Oct-01 19:45:00.000,0,0,0,0,0,0,0
2023-Oct-01 15:00:00.000,2023-Oct-01 20:00:00.000,0,0,0,0,0,0,0
