Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,0,12998.27734,135391.375,0,1954.750854,0,0
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,0,13048.21777,135415.4375,0,1994.754272,0,0
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,0,12984.05273,135221.7656,0,1854.30249,0,0
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,0,12749.82324,135070.4375,0,1663.258301,0,0
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,0,12788.23926,135108.7344,0,1691.033081,0,0
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,0,12781.42773,135205.8438,0,1747.77832,0,0
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,0,12655.3584,135330.9375,0,1733.570923,0,0
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,0,12557.62402,135510.3594,0,1756.135986,0,0
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,0,12618.41504,135496.2031,0,1755.999146,0,0
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,0,12510.73633,135577.2188,0,1732.333984,0,0
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,0,12444.73145,135504.7969,0,1701.179688,0,0
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,0,12566.27441,135408.9219,0,1712.204834,0,0
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,0,12511.54883,135560.8281,0,1729.938477,0,0
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,0,12416.54004,135522.0156,0,1704.056519,0,0
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,0,12542.62402,135635.25,0,1819.024048,0,0
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,0,12428.59961,135738.6094,0,1809.400391,0,0
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,0,12465.1416,135575.9688,0,1735.552368,0,0
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,0,12561.08984,135477.5781,0,1745.611084,0,0
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,0,12477.85547,135504.7344,0,1728.910767,0,0
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,0,12495.5791,135615.1094,0,1759.922852,0,0
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,0,12459.30762,135566.75,0,1721.623535,0,0
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,0,12448.3252,135655.2813,0,1713.75708,0,0
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,0,12405.46191,135814.9375,0,1751.255493,0,0
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,0,12138.91309,136097.1094,0,1780.217529,0,0
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,0,11855.51465,136613.8906,0,1853.27478,0,0
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,0,11533.1084,137256.0313,0,1950.175903,0,0
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,0,11505.75391,137645.5156,0,2052.199219,0,0
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,0,11576.3584,137698.0938,0,2065.088867,0,0
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,0,11746.05957,137324.4844,0,2013.221069,0,0
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,0,11759.94922,137323.0938,0,2020.992188,0,0
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,0,11611.83594,137536.5469,0,1989.837158,0,0
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,0,11619.38672,137494.0313,0,1959.308716,0,0
2023-Oct-01 08:15:00.000,2023-Oct-01 13:15:00.000,0,11527.5957,137040.6875,0,1721.844482,0,0
2023-Oct-01 08:30:00.000,2023-Oct-01 13:30:00.000,0,11669.59473,136569.7656,0,1568.096924,0,0
2023-Oct-01 08:45:00.000,2023-Oct-01 13:45:00.000,0,11819.53027,136471.8438,0,1621.10376,0,0
2023-Oct-01 09:00:00.000,2023-Oct-01 14:00:00.000,0,11776.0625,136422.4688,0,1607.123779,0,0
2023-Oct-01 09:15:00.000,2023-Oct-01 14:15:00.000,0,11810.38965,136198.6563,0,1524.742676,0,0
2023-Oct-01 09:30:00.000,2023-Oct-01 14:30:00.000,0,11978.13281,135979.8594,0,1520.381348,0,0
2023-Oct-01 09:45:00.000,2023-Oct-01 14:45:00.000,0,11968.30664,135836.5938,0,1471.227417,0,0
2023-Oct-01 10:00:00.000,2023-Oct-01 15:00:00.000,0,11896.0498,135883.4063,0,1456.452271,0,0
2023-Oct-01 10:15:00.000,2023-Oct-01 15:15:00.000,0,12009.40625,135888.6406,0,1501.005859,0,0
2023-Oct-01 10:30:00.000,2023-Oct-01 15:30:00.000,0,11873.16016,135874.0625,0,1452.222412,0,0
2023-Oct-01 10:45:00.000,2023-Oct-01 15:45:00.000,0,11916.17676,135752,0,1424.932129,0,0
