Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,357.6954041,0,134964.2969,34.70265961,0,0,0
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,347.8126526,0,134988.625,33.52891541,0,0,0
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,342.869873,0,134796.1875,33.31771469,0,0,0
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,338.5557556,0,134642.9219,32.19617844,0,0,0
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,331.3882446,0,134681.6094,28.88781357,0,0,0
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,327.2390747,0,134779.6875,29.94632149,0,0,0
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,326.1755981,0,134905.4531,33.14132309,0,0,0
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,324.1434631,0,135087.0625,34.41817474,0,0,0
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,322.3926697,0,135075.8906,34.91794586,0,0,0
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,318.6282959,0,135158.3125,34.27489853,0,0,0
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,314.8651123,0,135085.125,34.31458282,0,0,0
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,311.5471802,0,134990.2969,31.91575813,0,0,0
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,312.5373535,0,135143.25,35.2629509,0,0,0
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,310.969635,0,135105.5156,35.13510132,0,0,0
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,310.3990784,0,135220.5469,35.61172485,0,0,0
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,309.9806213,0,135325.3438,37.13840103,0,0,0
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,312.9373474,0,135164.9375,36.14586639,0,0,0
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,321.0771484,0,135066.5938,38.8623085,0,0,0
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,324.8409119,0,135095.4375,37.44409943,0,0,0
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,333.9710388,0,135208.6875,40.63379669,0,0,0
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,337.3477173,0,135161.5781,38.95479202,0,0,0
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,344.7036438,0,135251.6719,39.43087387,0,0,0
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,326.5292358,0,135412.3906,46.14841843,0,0,0
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,292.4808044,0,135695.9063,55.155159,0,0,0
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,285.5344849,0,136212.8281,64.13452148,0,0,0
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,291.270874,0,136855,73.92633057,0,0,0
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,315.8421326,0,137247.1719,82.81678009,0,0,0
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,319.9235535,0,137301.2344,86.25455475,0,0,0
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,325.1836853,0,136934.3125,81.75382996,0,0,0
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,333.507843,0,136937.9531,86.81920624,0,0,0
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,334.9470825,0,137157.8281,83.47506714,0,0,0
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,346.4825745,0,137119.3125,87.39398956,0,0,0
