Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,1274.401489,0,60748.67578,0,0,0,574.1657715
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,1251.403198,0,60765.19531,0,0,0,575.2091675
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,1236.117432,0,60657.42578,0,0,0,554.8109741
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,1209.431519,0,60597.95703,0,0,0,562.0292969
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,1190.157837,0,60617.78125,0,0,0,563.3265381
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,1176.342041,0,60667.73438,0,0,0,567.8826294
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,1175.871826,0,60718.33203,0,0,0,562.2116699
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,1155.489502,0,60808.69922,0,0,0,572.1589966
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,1162.72229,0,60798.13281,0,0,0,565.7258301
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,1162.247925,0,60829.29297,0,0,0,561.7879639
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,1135.84668,0,60809.85156,0,0,0,571.6694946
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,1131.626099,0,60771.98047,0,0,0,573.7681274
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,1131.180908,0,60836.83594,0,0,0,570.9824219
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,1122.492432,0,60824.38672,0,0,0,575.265625
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,1146.50354,0,60863.14844,0,0,0,564.9802856
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,1130.385864,0,60922.09375,0,0,0,577.7127686
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,1157.144287,0,60841.45703,0,0,0,568.9367676
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,1171.01001,0,60801.23438,0,0,0,569.8034668
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,1174.381714,0,60812.32813,0,0,0,572.8104248
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,1214.939209,0,60849,0,0,0,562.5983276
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,1234.180908,0,60825.03516,0,0,0,563.8259888
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,1270.610229,0,60847.99609,0,0,0,551.0214233
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,1230.420898,0,60923.45703,0,0,0,554.2427979
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,1150.47876,0,61059.25391,0,0,0,564.0018311
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,1169.948486,0,61272.76172,0,0,0,553.7181396
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,1184.424194,0,61088.25,0,0,0,546.3056641
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,1219.443115,0,61125.80859,0,0,0,535.2653198
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,1248.950195,0,61141.90625,0,0,0,529.3938599
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,1265.102539,0,60981.25781,0,0,0,535.263855
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,1294.545166,0,60955.97266,0,0,0,511.3345642
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,1322.995239,0,61041.23047,0,0,0,505.4700928
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,1336.581787,0,61023.96094,0,0,0,506.8673096
2023-Oct-01 08:15:00.000,2023-Oct-01 13:15:00.000,1366.538452,0,60823.22266,0,0,0,501.5538025
2023-Oct-01 08:30:00.000,2023-Oct-01 13:30:00.000,1378.554199,0,60611.57813,0,0,0,494.7387695
2023-Oct-01 08:45:00.000,2023-Oct-01 13:45:00.000,1396.135986,0,60553.60547,0,0,0,481.8317566
2023-Oct-01 09:00:00.000,2023-Oct-01 14:00:00.000,1392.957031,0,60533.81641,0,0,0,480.1807861
2023-Oct-01 09:15:00.000,2023-Oct-01 14:15:00.000,1424.196899,0,60426.17969,0,0,0,464.5879211
2023-Oct-01 09:30:00.000,2023-Oct-01 14:30:00.000,1428.414185,0,60324.66797,0,0,0,454.1907043
2023-Oct-01 09:45:00.000,2023-Oct-01 14:45:00.000,1394.104004,0,60273.22656,0,0,0,459.1230469
2023-Oct-01 10:00:00.000,2023-Oct-01 15:00:00.000,1405.826782,0,60280.14063,0,0,0,448.2354736
2023-Oct-01 10:15:00.000,2023-Oct-01 15:15:00.000,1406.234375,0,60278.31641,0,0,0,440.7296753
2023-Oct-01 10:30:00.000,2023-Oct-01 15:30:00.000,1393.76123,0,60284.46094,0,0,0,447.8035889
2023-Oct-01 10:45:00.000,2023-Oct-01 15:45:00.000,1397.098877,0,60228.76953,0,0,0,445.5926819
