Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Nov-01 00:15:00.000,2023-Nov-01 05:15:00.000,9.878279686,0,10803.64648,5.449730396,0,0,0
2023-Nov-01 00:30:00.000,2023-Nov-01 05:30:00.000,8.137681961,0,10813.90527,5.027872562,0,0,0
2023-Nov-01 00:45:00.000,2023-Nov-01 05:45:00.000,9.245886803,0,10824.74707,5.145832539,0,0,0
2023-Nov-01 01:00:00.000,2023-Nov-01 06:00:00.000,9.86277771,0,10833.92969,5.499873161,0,0,0
2023-Nov-01 01:15:00.000,2023-Nov-01 06:15:00.000,7.603586674,0,10840.7627,5.06588316,0,0,0
2023-Nov-01 01:30:00.000,2023-Nov-01 06:30:00.000,9.393278122,0,10737.5127,4.892895699,0,0,0
2023-Nov-01 01:45:00.000,2023-Nov-01 06:45:00.000,9.731973648,0,10723.27344,4.864931583,0,0,0
2023-Nov-01 02:00:00.000,2023-Nov-01 07:00:00.000,7.339131832,0,10732.81641,4.630239964,0,0,0
2023-Nov-01 02:15:00.000,2023-Nov-01 07:15:00.000,10.45203114,0,10744.61523,5.050879955,0,0,0
2023-Nov-01 02:30:00.000,2023-Nov-01 07:30:00.000,7.590566635,0,10746.8291,4.644255638,0,0,0
2023-Nov-01 02:45:00.000,2023-Nov-01 07:45:00.000,9.776771545,0,10748.02246,4.885392189,0,0,0
2023-Nov-01 03:00:00.000,2023-Nov-01 08:00:00.000,9.342391968,0,10756.65918,5.05702734,0,0,0
2023-Nov-01 03:15:00.000,2023-Nov-01 08:15:00.000,7.467367649,0,10761.84961,4.512084961,0,0,0
2023-Nov-01 03:30:00.000,2023-Nov-01 08:30:00.000,9.355431557,0,10736.09668,5.157687664,0,0,0
2023-Nov-01 03:45:00.000,2023-Nov-01 08:45:00.000,9.546567917,0,10732.20117,4.427758694,0,0,0
2023-Nov-01 04:00:00.000,2023-Nov-01 09:00:00.000,7.87620163,0,10732.65625,4.887951374,0,0,0
2023-Nov-01 04:15:00.000,2023-Nov-01 09:15:00.000,9.373476028,0,10721.77246,4.820349216,0,0,0
2023-Nov-01 04:30:00.000,2023-Nov-01 09:30:00.000,9.48852253,0,10719.0791,4.520205498,0,0,0
2023-Nov-01 04:45:00.000,2023-Nov-01 09:45:00.000,7.810282707,0,10721.99219,4.278256893,0,0,0
2023-Nov-01 05:00:00.000,2023-Nov-01 10:00:00.000,9.383407593,0,10725.57422,4.325889111,0,0,0
2023-Nov-01 05:15:00.000,2023-Nov-01 10:15:00.000,6.644786358,0,10736.84863,4.784720898,0,0,0
2023-Nov-01 05:30:00.000,2023-Nov-01 10:30:00.000,9.075422287,0,10787.27539,5.129394054,0,0,0
2023-Nov-01 05:45:00.000,2023-Nov-01 10:45:00.000,9.187129021,0,10805.18457,5.232522964,0,0,0
2023-Nov-01 06:00:00.000,2023-Nov-01 11:00:00.000,7.161798954,0,10822.12109,5.372849941,0,0,0
2023-Nov-01 06:15:00.000,2023-Nov-01 11:15:00.000,9.492591858,0,10802.1875,6.098274231,0,0,0
2023-Nov-01 06:30:00.000,2023-Nov-01 11:30:00.000,9.223898888,0,10752.08691,5.920799732,0,0,0
2023-Nov-01 06:45:00.000,2023-Nov-01 11:45:00.000,7.467510223,0,10767.25684,5.969996929,0,0,0
2023-Nov-01 07:00:00.000,2023-Nov-01 12:00:00.000,8.912471771,0,10773.03711,6.011713982,0,0,0
2023-Nov-01 07:15:00.000,2023-Nov-01 12:15:00.000,9.0545187,0,10769.05566,6.052023888,0,0,0
2023-Nov-01 07:30:00.000,2023-Nov-01 12:30:00.000,7.025181293,0,10758.31445,6.033836842,0,0,0
2023-Nov-01 07:45:00.000,2023-Nov-01 12:45:00.000,9.219524384,0,10733.99219,6.079773903,0,0,0
2023-Nov-01 08:00:00.000,2023-Nov-01 13:00:00.000,7.727117062,0,10707.57324,5.838211536,0,0,0
2023-Nov-01 08:15:00.000,2023-Nov-01 13:15:00.000,7.818599701,0,10678.64355,5.752753735,0,0,0
2023-Nov-01 08:30:00.000,2023-Nov-01 13:30:00.000,8.988348961,0,10646.26758,5.553363323,0,0,0
2023-Nov-01 08:45:00.000,2023-Nov-01 13:45:00.000,7.193635464,0,10629.06543,5.526645184,0,0,0
2023-Nov-01 09:00:00.000,2023-Nov-01 14:00:00.000,8.770061493,0,10608.35645,5.495439529,0,0,0
2023-Nov-01 09:15:00.000,2023-Nov-01 14:15:00.000,8.040301323,0,10589.29297,5.376111984,0,0,0
2023-Nov-01 09:30:00.000,2023-Nov-01 14:30:00.000,8.215568542,0,10586.88086,5.33516264,0,0,0
2023-Nov-01 09:45:00.000,2023-Nov-01 14:45:00.000,8.519964218,0,10576.91113,5.348917961,0,0,0
2023-Nov-01 10:00:00.000,2023-Nov-01 15:00:00.000,6.978834152,0,10645.10938,5.479849339,0,0,0
2023-Nov-01 10:15:00.000,2023-Nov-01 15:15:00.000,8.734906197,0,10695.04492,5.676421642,0,0,0
2023-Nov-01 10:30:00.000,2023-Nov-01 15:30:00.000,8.950089455,0,10702.48438,5.713652611,0,0,0
2023-Nov-01 10:45:00.000,2023-Nov-01 15:45:00.000,6.805246353,0,10692.43359,5.745596409,0,0,0
2023-Nov-01 11:00:00.000,2023-Nov-01 16:00:00.000,9.135531425,0,10698.2041,5.782900333,0,0,0
2023-Nov-01 11:15:00.000,2023-Nov-01 16:15:00.000,7.207249641,0,10684.24707,5.748208046,0,0,0
2023-Nov-01 11:30:00.000,2023-Nov-01 16:30:00.000,8.887943268,0,10693.06348,5.766854286,0,0,0
2023-Nov-01 11:45:00.000,2023-Nov-01 16:45:00.000,8.594424248,0,10699.2041,5.706868172,0,0,0
2023-Nov-01 12:00:00.000,2023-Nov-01 17:00:00.000,7.062860966,0,10712.7168,5.799829483,0,0,0
2023-Nov-01 12:15:00.000,2023-Nov-01 17:15:00.000,8.553152084,0,10725.62988,5.836900234,0,0,0
2023-Nov-01 12:30:00.000,2023-Nov-01 17:30:00.000,8.587400436,0,10707.87695,5.801975727,0,0,0
2023-Nov-01 12:45:00.000,2023-Nov-01 17:45:00.000,7.272400856,0,10632.67773,5.530636311,0,0,0
2023-Nov-01 13:00:00.000,2023-Nov-01 18:00:00.000,8.698752403,0,10645.13184,5.526926994,0,0,0
2023-Nov-01 13:15:00.000,2023-Nov-01 18:15:00.000,7.045332432,0,10671.12402,5.602676868,0,0,0
2023-Nov-01 13:30:00.000,2023-Nov-01 18:30:00.000,8.490737915,0,10663.12891,5.578614235,0,0,0
2023-Nov-01 13:45:00.000,2023-Nov-01 18:45:00.000,8.118932724,0,10656.53809,5.594435692,0,0,0
2023-Nov-01 14:00:00.000,2023-Nov-01 19:00:00.000,7.460347176,0,10655.08984,5.608476639,0,0,0
2023-Nov-01 14:15:00.000,2023-Nov-01 19:15:00.000,8.276913643,0,10633.37305,5.471610069,0,0,0
2023-Nov-01 14:30:00.000,2023-Nov-01 19:30:00.000,6.999344349,0,10628.08301,5.495986938,0,0,0
2023-Nov-01 14:45:00.000,2023-Nov-01 19:45:00.000,8.54443264,0,10640.0918,5.524357796,0,0,0
2023-Nov-01 15:00:00.000,2023-Nov-01 20:00:00.000,8.518087387,0,10628.17578,5.471015453,0,0,0
2023-Nov-01 15:15:00.000,2023-Nov-01 20:15:00.000,7.088769913,0,10639.89844,5.485916615,0,0,0
2023-Nov-01 15:30:00.000,2023-Nov-01 20:30:00.000,8.081232071,0,10645.33301,5.545258522,0,0,0
2023-Nov-01 15:45:00.000,2023-Nov-01 20:45:00.000,7.173254013,0,10623.69629,5.427865505,0,0,0
2023-Nov-01 16:00:00.000,2023-Nov-01 21:00:00.000,7.867222309,0,10611.95215,5.398174286,0,0,0
2023-Nov-01 16:15:00.000,2023-Nov-01 21:15:00.000,8.428595543,0,10608.75098,5.368024826,0,0,0
2023-Nov-01 16:30:00.000,2023-Nov-01 21:30:00.000,7.15256691,0,10599.24414,5.371829033,0,0,0
2023-Nov-01 16:45:00.000,2023-Nov-01 21:45:00.000,8.151647568,0,10585.53223,5.294147968,0,0,0
2023-Nov-01 17:00:00.000,2023-Nov-01 22:00:00.000,8.863708496,0,10575.45313,5.310965538,0,0,0
2023-Nov-01 17:15:00.000,2023-Nov-01 22:15:00.000,7.066680908,0,10554.50195,5.220090389,0,0,0
2023-Nov-01 17:30:00.000,2023-Nov-01 22:30:00.000,8.595199585,0,10541.75195,5.143332005,0,0,0
2023-Nov-01 17:45:00.000,2023-Nov-01 22:45:00.000,8.446346283,0,10538.25293,4.705794334,0,0,0
2023-Nov-01 18:00:00.000,2023-Nov-01 23:00:00.000,7.467031956,0,10541.39844,4.523262978,0,0,0
2023-Nov-01 18:15:00.000,2023-Nov-01 23:15:00.000,9.101396561,0,10546.88965,4.459379196,0,0,0
2023-Nov-01 18:30:00.000,2023-Nov-01 23:30:00.000,8.845477104,0,10529.47656,4.328606129,0,0,0
2023-Nov-01 18:45:00.000,2023-Nov-01 23:45:00.000,8.997855186,0,10532.5293,4.180642128,0,0,0
2023-Nov-01 19:00:00.000,2023-Nov-02 00:00:00.000,7.448016644,0,10547.46875,4.595754623,0,0,0
2023-Nov-01 19:15:00.000,2023-Nov-02 00:15:00.000,9.359248161,0,10662.60352,4.538967133,0,0,0
2023-Nov-01 19:30:00.000,2023-Nov-02 00:30:00.000,9.053629875,0,10656.44043,4.779687881,0,0,0
2023-Nov-01 19:45:00.000,2023-Nov-02 00:45:00.000,8.030593872,0,10644.30176,4.677381039,0,0,0
2023-Nov-01 20:00:00.000,2023-Nov-02 01:00:00.000,8.912793159,0,10637.16406,4.339335918,0,0,0
2023-Nov-01 20:15:00.000,2023-Nov-02 01:15:00.000,9.575802803,0,10638.15234,4.848739147,0,0,0
2023-Nov-01 20:30:00.000,2023-Nov-02 01:30:00.000,7.603246212,0,10636.14746,4.324116707,0,0,0
2023-Nov-01 20:45:00.000,2023-Nov-02 01:45:00.000,9.791150093,0,10657.1123,4.616861343,0,0,0
2023-Nov-01 21:00:00.000,2023-Nov-02 02:00:00.000,8.978115082,0,10670.16406,4.659998417,0,0,0
2023-Nov-01 21:15:00.000,2023-Nov-02 02:15:00.000,7.851816177,0,10666.97754,4.428274632,0,0,0
2023-Nov-01 21:30:00.000,2023-Nov-02 02:30:00.000,10.77841473,0,10675.73242,4.92971611,0,0,0
2023-Nov-01 21:45:00.000,2023-Nov-02 02:45:00.000,7.556349277,0,10702.36035,4.399561882,0,0,0
2023-Nov-01 22:00:00.000,2023-Nov-02 03:00:00.000,9.721232414,0,10725.16797,5.032284737,0,0,0
2023-Nov-01 22:15:00.000,2023-Nov-02 03:15:00.000,9.120775223,0,10723.23047,4.564287663,0,0,0
2023-Nov-01 22:30:00.000,2023-Nov-02 03:30:00.000,7.658930779,0,10757.26758,4.996611118,0,0,0
2023-Nov-01 22:45:00.000,2023-Nov-02 03:45:00.000,9.854800224,0,10788.03027,5.02580452,0,0,0
2023-Nov-01 23:00:00.000,2023-Nov-02 04:00:00.000,9.58121109,0,10823.58203,5.028802872,0,0,0
2023-Nov-01 23:15:00.000,2023-Nov-02 04:15:00.000,7.667006493,0,10832.99316,5.404150009,0,0,0
2023-Nov-01 23:30:00.000,2023-Nov-02 04:30:00.000,9.119476318,0,10861.2002,4.956304073,0,0,0
2023-Nov-01 23:45:00.000,2023-Nov-02 04:45:00.000,10.10604572,0,10877.72754,5.64822197,0,0,0
2023-Nov-02 00:00:00.000,2023-Nov-02 05:00:00.000,8.988192558,0,10873.22266,5.004830837,0,0,0
2023-Nov-02 00:15:00.000,2023-Nov-02 05:15:00.000,8.120158195,0,10772.69141,4.614672661,0,0,0
2023-Nov-02 00:30:00.000,2023-Nov-02 05:30:00.000,8.95649147,0,10765.73438,4.543634892,0,0,0
2023-Nov-02 00:45:00.000,2023-Nov-02 05:45:00.000,9.89700985,0,10772.47266,4.607450962,0,0,0
2023-Nov-02 01:00:00.000,2023-Nov-02 06:00:00.000,7.846021652,0,10784.64551,4.62669754,0,0,0
2023-Nov-02 01:15:00.000,2023-Nov-02 06:15:00.000,9.138448715,0,10788.81152,4.645541668,0,0,0
2023-Nov-02 01:30:00.000,2023-Nov-02 06:30:00.000,9.075057983,0,10790.32129,4.61007309,0,0,0
2023-Nov-02 01:45:00.000,2023-Nov-02 06:45:00.000,9.003020287,0,10793.33691,4.907624722,0,0,0
2023-Nov-02 02:00:00.000,2023-Nov-02 07:00:00.000,9.627182007,0,10804.65625,5.594663143,0,0,0
