Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Nov-01 00:15:00.000,2023-Nov-01 05:15:00.000,3687.753418,0,137524.625,0,0,0,2179.252441
2023-Nov-01 00:30:00.000,2023-Nov-01 05:30:00.000,3741.927246,0,137621.6719,0,0,0,2174.084717
2023-Nov-01 00:45:00.000,2023-Nov-01 05:45:00.000,3754.019531,0,137748.4531,0,0,0,2175.361328
2023-Nov-01 01:00:00.000,2023-Nov-01 06:00:00.000,3809.102539,0,137836.5,0,0,0,2168.041748
2023-Nov-01 01:15:00.000,2023-Nov-01 06:15:00.000,3766.927979,0,137912.5625,0,0,0,2212.196533
2023-Nov-01 01:30:00.000,2023-Nov-01 06:30:00.000,3603.69751,0,136534.25,0,0,0,2584.398926
2023-Nov-01 01:45:00.000,2023-Nov-01 06:45:00.000,3664.87793,0,136317.1563,0,0,0,2418.841309
2023-Nov-01 02:00:00.000,2023-Nov-01 07:00:00.000,3567.832764,0,136431.0625,0,0,0,2495.960938
2023-Nov-01 02:15:00.000,2023-Nov-01 07:15:00.000,3613.881348,0,136568.6406,0,0,0,2488.019775
2023-Nov-01 02:30:00.000,2023-Nov-01 07:30:00.000,3643.545898,0,136591.5625,0,0,0,2458.070557
2023-Nov-01 02:45:00.000,2023-Nov-01 07:45:00.000,3570.603271,0,136634.2813,0,0,0,2468.296875
2023-Nov-01 03:00:00.000,2023-Nov-01 08:00:00.000,3582.463867,0,136722.0938,0,0,0,2448.256348
2023-Nov-01 03:15:00.000,2023-Nov-01 08:15:00.000,3592.268311,0,136775.9375,0,0,0,2440.262207
2023-Nov-01 03:30:00.000,2023-Nov-01 08:30:00.000,3820.859131,0,136458.9063,0,0,0,2304.848145
2023-Nov-01 03:45:00.000,2023-Nov-01 08:45:00.000,3906.348145,0,136396.875,0,0,0,2283.391602
2023-Nov-01 04:00:00.000,2023-Nov-01 09:00:00.000,3993.137207,0,136388.5469,0,0,0,2226.413574
2023-Nov-01 04:15:00.000,2023-Nov-01 09:15:00.000,4019.875488,0,136232.4375,0,0,0,2240.048584
2023-Nov-01 04:30:00.000,2023-Nov-01 09:30:00.000,4047.682373,0,136210.0156,0,0,0,2223.873047
2023-Nov-01 04:45:00.000,2023-Nov-01 09:45:00.000,3996.001465,0,136244.0938,0,0,0,2211.126221
2023-Nov-01 05:00:00.000,2023-Nov-01 10:00:00.000,3959.28833,0,136289.2656,0,0,0,2193.181396
2023-Nov-01 05:15:00.000,2023-Nov-01 10:15:00.000,3845.244385,0,136441.1563,0,0,0,2202.944336
2023-Nov-01 05:30:00.000,2023-Nov-01 10:30:00.000,3693.710938,0,137013.6719,0,0,0,2237.941406
2023-Nov-01 05:45:00.000,2023-Nov-01 10:45:00.000,3715.419189,0,137231.7969,0,0,0,2217.632813
2023-Nov-01 06:00:00.000,2023-Nov-01 11:00:00.000,3402.864014,0,137480.2031,0,0,0,2285.15625
2023-Nov-01 06:15:00.000,2023-Nov-01 11:15:00.000,3264.973877,0,137232.4844,0,0,0,2230.374268
