Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Nov-01 00:15:00.000,2023-Nov-01 05:15:00.000,2653.9729,0,10815.01074,265.6270447,0,0,0
2023-Nov-01 00:30:00.000,2023-Nov-01 05:30:00.000,2564.616699,0,10825.25781,256.1786804,0,0,0
2023-Nov-01 00:45:00.000,2023-Nov-01 05:45:00.000,2508.846436,0,10836.06738,255.2967834,0,0,0
2023-Nov-01 01:00:00.000,2023-Nov-01 06:00:00.000,2445.033447,0,10845.51563,245.6878967,0,0,0
2023-Nov-01 01:15:00.000,2023-Nov-01 06:15:00.000,2382.804199,0,10852.07813,246.4001617,0,0,0
2023-Nov-01 01:30:00.000,2023-Nov-01 06:30:00.000,2315.133301,0,10749.17285,207.9979553,0,0,0
2023-Nov-01 01:45:00.000,2023-Nov-01 06:45:00.000,2264.4021,0,10734.5918,190.6264801,0,0,0
2023-Nov-01 02:00:00.000,2023-Nov-01 07:00:00.000,2228.56543,0,10744.12988,189.5764618,0,0,0
2023-Nov-01 02:15:00.000,2023-Nov-01 07:15:00.000,2212.847168,0,10755.98438,186.7423859,0,0,0
2023-Nov-01 02:30:00.000,2023-Nov-01 07:30:00.000,2172.635986,0,10758.50879,185.5223694,0,0,0
2023-Nov-01 02:45:00.000,2023-Nov-01 07:45:00.000,2154.332275,0,10759.57715,200.0714111,0,0,0
2023-Nov-01 03:00:00.000,2023-Nov-01 08:00:00.000,2135.84082,0,10768.12402,190.860733,0,0,0
2023-Nov-01 03:15:00.000,2023-Nov-01 08:15:00.000,2111.595703,0,10773.25195,187.8937683,0,0,0
2023-Nov-01 03:30:00.000,2023-Nov-01 08:30:00.000,2108.457275,0,10747.63965,191.6329803,0,0,0
2023-Nov-01 03:45:00.000,2023-Nov-01 08:45:00.000,2095.100098,0,10743.65137,185.9537201,0,0,0
2023-Nov-01 04:00:00.000,2023-Nov-01 09:00:00.000,2100.812988,0,10744.09961,179.5304565,0,0,0
2023-Nov-01 04:15:00.000,2023-Nov-01 09:15:00.000,2097.365234,0,10733.19922,169.5999451,0,0,0
