Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,377.010498,0,10794.26465,80.63457489,0,0,0
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,366.0626221,0,10798.12305,76.27745819,0,0,0
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,356.6186523,0,10797.6377,71.05982971,0,0,0
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,359.0740662,0,10791.0166,77.98468781,0,0,0
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,356.8899231,0,10796.18848,75.42134857,0,0,0
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,345.1858215,0,10807.63672,68.25467682,0,0,0
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,349.2673645,0,10815.90234,74.95306396,0,0,0
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,346.7159424,0,10822.30664,77.26303101,0,0,0
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,343.4532471,0,10828.22461,69.91188049,0,0,0
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,335.9319153,0,10832.40625,71.8028183,0,0,0
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,343.0400696,0,10824.3252,75.75880432,0,0,0
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,343.5979614,0,10824.5791,72.57225037,0,0,0
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,337.5741577,0,10835.32227,69.46487427,0,0,0
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,343.1923218,0,10829.13965,73.99584961,0,0,0
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,344.2365723,0,10837.58301,73.70840454,0,0,0
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,347.5765991,0,10839.94434,72.18798065,0,0,0
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,352.2095642,0,10832.56641,74.53259277,0,0,0
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,355.4714661,0,10827.55859,76.45330811,0,0,0
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,346.6728516,0,10831.98145,68.83905792,0,0,0
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,357.2528992,0,10836.38672,73.3767395,0,0,0
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,371.7382202,0,10832.64551,79.86528015,0,0,0
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,365.4779053,0,10839.53223,73.48041534,0,0,0
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,369.0375671,0,10843.61426,75.6068573,0,0,0
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,377.275177,0,10862.85352,83.36273956,0,0,0
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,371.1266174,0,10894.90332,78.07984924,0,0,0
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,383.2629395,0,10919.38867,80.65856934,0,0,0
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,395.9260254,0,10934.22559,89.45120239,0,0,0
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,393.3993225,0,10942.56152,90.82863617,0,0,0
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,407.2257996,0,10934.19531,90.11255646,0,0,0
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,420.8230896,0,10938.53809,93.30266571,0,0,0
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,425.8320923,0,10949.77734,96.06209564,0,0,0
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,429.9223328,0,10949.31934,93.88598633,0,0,0
2023-Oct-01 08:15:00.000,2023-Oct-01 13:15:00.000,442.0985413,0,10932.05762,97.76014709,0,0,0
2023-Oct-01 08:30:00.000,2023-Oct-01 13:30:00.000,436.8089905,0,10911.66699,102.4155121,0,0,0
2023-Oct-01 08:45:00.000,2023-Oct-01 13:45:00.000,424.1255798,0,10906.05957,96.61067963,0,0,0
2023-Oct-01 09:00:00.000,2023-Oct-01 14:00:00.000,450.2095947,0,10893.50879,100.6113815,0,0,0
2023-Oct-01 09:15:00.000,2023-Oct-01 14:15:00.000,444.5242615,0,10878.20801,104.2030182,0,0,0
2023-Oct-01 09:30:00.000,2023-Oct-01 14:30:00.000,451.9597168,0,10865.13477,98.18079376,0,0,0
2023-Oct-01 09:45:00.000,2023-Oct-01 14:45:00.000,468.479187,0,10851.56445,100.5963821,0,0,0
2023-Oct-01 10:00:00.000,2023-Oct-01 15:00:00.000,463.3827209,0,10859.62305,110.3281021,0,0,0
2023-Oct-01 10:15:00.000,2023-Oct-01 15:15:00.000,443.5820923,0,10860.64844,104.0952454,0,0,0
2023-Oct-01 10:30:00.000,2023-Oct-01 15:30:00.000,457.867157,0,10844.75098,104.8595505,0,0,0
2023-Oct-01 10:45:00.000,2023-Oct-01 15:45:00.000,476.418396,0,10833.26563,109.0555573,0,0,0
2023-Oct-01 11:00:00.000,2023-Oct-01 16:00:00.000,464.8009338,0,10831.75,108.1580582,0,0,0
2023-Oct-01 11:15:00.000,2023-Oct-01 16:15:00.000,454.3826599,0,10830.65527,106.7306442,0,0,0
2023-Oct-01 11:30:00.000,2023-Oct-01 16:30:00.000,451.4864807,0,10822.87598,111.8408585,0,0,0
2023-Oct-01 11:45:00.000,2023-Oct-01 16:45:00.000,462.6923218,0,10819.4707,111.6479797,0,0,0
2023-Oct-01 12:00:00.000,2023-Oct-01 17:00:00.000,465.2841797,0,10821.54297,109.2329636,0,0,0
2023-Oct-01 12:15:00.000,2023-Oct-01 17:15:00.000,462.4224243,0,10814.94043,110.6296234,0,0,0
2023-Oct-01 12:30:00.000,2023-Oct-01 17:30:00.000,475.8982544,0,10808.47656,117.0231857,0,0,0
2023-Oct-01 12:45:00.000,2023-Oct-01 17:45:00.000,467.524231,0,10810.32324,112.2923203,0,0,0
2023-Oct-01 13:00:00.000,2023-Oct-01 18:00:00.000,464.7822266,0,10819.39063,115.1243286,0,0,0
2023-Oct-01 13:15:00.000,2023-Oct-01 18:15:00.000,482.2431946,0,10835.31641,122.2905807,0,0,0
2023-Oct-01 13:30:00.000,2023-Oct-01 18:30:00.000,489.7033997,0,10829.18359,118.0346451,0,0,0
2023-Oct-01 13:45:00.000,2023-Oct-01 18:45:00.000,483.5513611,0,10828.23438,117.5117645,0,0,0
2023-Oct-01 14:00:00.000,2023-Oct-01 19:00:00.000,486.5310669,0,10817.59863,123.7183762,0,0,0
2023-Oct-01 14:15:00.000,2023-Oct-01 19:15:00.000,472.5610352,0,10818.37891,118.7582703,0,0,0
2023-Oct-01 14:30:00.000,2023-Oct-01 19:30:00.000,474.2678223,0,10820.4209,119.2804718,0,0,0
2023-Oct-01 14:45:00.000,2023-Oct-01 19:45:00.000,484.5468445,0,10810.31934,122.188736,0,0,0
2023-Oct-01 15:00:00.000,2023-Oct-01 20:00:00.000,482.6803284,0,10816.16992,121.6261063,0,0,0
2023-Oct-01 15:15:00.000,2023-Oct-01 20:15:00.000,474.8817444,0,10815.09375,113.6724854,0,0,0
2023-Oct-01 15:30:00.000,2023-Oct-01 20:30:00.000,491.033905,0,10808.81934,118.8697128,0,0,0
2023-Oct-01 15:45:00.000,2023-Oct-01 20:45:00.000,483.9864502,0,10815.49316,116.4809875,0,0,0
2023-Oct-01 16:00:00.000,2023-Oct-01 21:00:00.000,469.5431824,0,10792.05664,112.5005722,0,0,0
2023-Oct-01 16:15:00.000,2023-Oct-01 21:15:00.000,485.3358459,0,10787.3418,110.9224014,0,0,0
2023-Oct-01 16:30:00.000,2023-Oct-01 21:30:00.000,494.3007813,0,10792.11914,115.1498566,0,0,0
2023-Oct-01 16:45:00.000,2023-Oct-01 21:45:00.000,477.3086548,0,10781.35254,110.2005997,0,0,0
2023-Oct-01 17:00:00.000,2023-Oct-01 22:00:00.000,474.9813538,0,10801.91992,109.0815353,0,0,0
2023-Oct-01 17:15:00.000,2023-Oct-01 22:15:00.000,479.1446838,0,10821.58594,116.6213837,0,0,0
2023-Oct-01 17:30:00.000,2023-Oct-01 22:30:00.000,486.0960083,0,10816.08301,110.8750458,0,0,0
2023-Oct-01 17:45:00.000,2023-Oct-01 22:45:00.000,491.4463806,0,10794.28125,109.6973343,0,0,0
