Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,129.6164551,0,10790.51465,82.89451599,0,0,0
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,125.0388794,0,10795.12695,78.81213379,0,0,0
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,122.5130157,0,10793.66895,76.20091248,0,0,0
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,127.2579193,0,10788.06152,80.69472504,0,0,0
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,127.1708908,0,10792.48438,80.83138275,0,0,0
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,122.5524445,0,10805.12695,76.29994965,0,0,0
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,125.4621277,0,10812.68555,79.20640564,0,0,0
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,128.6520538,0,10819.26367,82.49040985,0,0,0
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,123.1638947,0,10824.87305,77.02275848,0,0,0
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,123.7193604,0,10828.82813,77.61813354,0,0,0
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,129.5558624,0,10820.9043,83.33222198,0,0,0
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,123.3959808,0,10821.41406,77.38440704,0,0,0
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,123.2189331,0,10831.75098,77.1105423,0,0,0
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,129.2081299,0,10825.78125,83.01863861,0,0,0
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,124.9243164,0,10834.75,78.98123932,0,0,0
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,122.8429489,0,10836.22461,76.67670441,0,0,0
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,127.8579025,0,10828.97266,81.58217621,0,0,0
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,126.829834,0,10824.27441,80.76290894,0,0,0
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,122.6963196,0,10828.8125,76.51950836,0,0,0
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,125.8582458,0,10832.90625,79.6287384,0,0,0
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,129.0806732,0,10829.31641,82.83587646,0,0,0
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,122.7417068,0,10836.35938,76.6137619,0,0,0
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,124.6985474,0,10840.78711,78.31259155,0,0,0
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,129.8240967,0,10860.89453,83.89428711,0,0,0
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,123.228775,0,10892.77539,78.08677673,0,0,0
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,122.2049408,0,10917.24414,77.67247772,0,0,0
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,129.2646942,0,10930.77344,84.9054718,0,0,0
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,125.4557724,0,10940.34082,81.2463913,0,0,0
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,122.2567215,0,10928.53223,77.87193298,0,0,0
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,127.7178421,0,10936.23145,83.43759155,0,0,0
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,125.9753418,0,10947.42188,81.72264099,0,0,0
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,122.2775955,0,10945.35645,78.06453705,0,0,0
2023-Oct-01 08:15:00.000,2023-Oct-01 13:15:00.000,126.6947021,0,10927.36426,82.09554291,0,0,0
2023-Oct-01 08:30:00.000,2023-Oct-01 13:30:00.000,127.4102478,0,10907.72461,82.93132782,0,0,0
2023-Oct-01 08:45:00.000,2023-Oct-01 13:45:00.000,122.1672363,0,10902.88477,77.59295654,0,0,0
2023-Oct-01 09:00:00.000,2023-Oct-01 14:00:00.000,124.585556,0,10888.47559,79.77754974,0,0,0
2023-Oct-01 09:15:00.000,2023-Oct-01 14:15:00.000,129.1948547,0,10874.19824,84.27528381,0,0,0
2023-Oct-01 09:30:00.000,2023-Oct-01 14:30:00.000,122.4037552,0,10861.19336,77.14381409,0,0,0
2023-Oct-01 09:45:00.000,2023-Oct-01 14:45:00.000,122.3140182,0,10848.30078,77.22457123,0,0,0
2023-Oct-01 10:00:00.000,2023-Oct-01 15:00:00.000,131.4730988,0,10855.64648,85.58344269,0,0,0
2023-Oct-01 10:15:00.000,2023-Oct-01 15:15:00.000,123.3375854,0,10857.16602,78.59778595,0,0,0
2023-Oct-01 10:30:00.000,2023-Oct-01 15:30:00.000,122.1089401,0,10840.61523,76.89752197,0,0,0
2023-Oct-01 10:45:00.000,2023-Oct-01 15:45:00.000,127.5010147,0,10829.16797,82.16545868,0,0,0
2023-Oct-01 11:00:00.000,2023-Oct-01 16:00:00.000,125.7354202,0,10828.43262,80.50149536,0,0,0
