Local Time,Timestamp,kWh del int,kWh rec int,Vll avg,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,5497.648926,0,137789.4375,294.7580261,0,0,0
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,6121.516602,0,137849.4531,217.8823242,0,0,0
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,6272.798828,0,137473.5938,233.4407654,0,0,0
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,5260.05127,0,137858.6719,386.8062134,0,0,0
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,5534.373047,0,137602.7344,341.0384216,0,0,0
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,6009.520996,0,137665.2813,264.671814,0,0,0
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,5622.11084,0,137796.8594,269.4620667,0,0,0
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,5292.602051,0,137943.0469,253.9868622,0,0,0
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,5966.888184,0,137962.4219,161.6968689,0,0,0.078984544
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,5694.736816,0,138132.7188,166.6791992,0,0,0.563661218
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,4723.096191,0,138346.9844,316.7723389,0,0,0
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,5537.578613,0,137856.9844,247.8242035,0,0,0
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,5469.55127,0,137889.0781,203.2915344,0,0,0.346424818
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,4614.788574,0,137822.3594,327.2284546,0,0,0
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,5887.606445,0,138030.875,155.649353,0,0,0.019194307
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,5227.659668,0,137937.25,204.7794647,0,0,0.089096166
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,4942.084473,0,137847.9844,268.4197083,0,0,0
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,5297.87207,0,137914.2656,258.2708435,0,0,0
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,4821.29834,0,137898.9063,307.8739319,0,0,0
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,5604.825684,0,138009.0938,171.3148499,0,0,0.057611678
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,5004.328613,0,137839.2344,252.6947021,0,0,0.010040791
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,4917.586914,0,138036.6875,216.0820007,0,0,0
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,5226.818359,0,138399.6406,133.9685974,0,0,3.235488176
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,4938.986816,0,138276.3594,102.4008102,0,0,2.636098862
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,4939.517578,0,138922.8594,11.87451744,0,0,68.08142853
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,5308.265137,0,139109.9063,0,0,0,300.4412537
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,4820.687012,0,139172.625,0,0,0,389.274231
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,4518.129883,0,139344.8125,0,0,0,402.5719299
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,4491.041992,0,138937.8438,0,0,0,283.3044739
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,4893.143066,0,139147.4531,0,0,0,331.7888184
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,4891.399414,0,139246.3125,0,0,0,435.1511536
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,4477.22168,0,139235.9375,0,0,0,402.6380005
2023-Oct-01 08:15:00.000,2023-Oct-01 13:15:00.000,4057.311035,0,138953.3125,0.179827929,0,0,249.5358124
2023-Oct-01 08:30:00.000,2023-Oct-01 13:30:00.000,4285.544434,0,138823.3281,0.431046009,0,0,164.5776367
2023-Oct-01 08:45:00.000,2023-Oct-01 13:45:00.000,4123.924805,0,138968.9375,4.179159164,0,0,125.3586578
2023-Oct-01 09:00:00.000,2023-Oct-01 14:00:00.000,4100.162109,0,138426.875,1.809677124,0,0,104.1481171
2023-Oct-01 09:15:00.000,2023-Oct-01 14:15:00.000,4390.71875,0,138536.2656,2.636346817,0,0,79.56738281
2023-Oct-01 09:30:00.000,2023-Oct-01 14:30:00.000,4541.579102,0,138623.6563,13.23114395,0,0,39.87622452
2023-Oct-01 09:45:00.000,2023-Oct-01 14:45:00.000,4330.260254,0,138366,49.32443237,0,0,11.09404469
2023-Oct-01 10:00:00.000,2023-Oct-01 15:00:00.000,4104.384277,0,138293.8281,56.9684906,0,0,16.9146328
2023-Oct-01 10:15:00.000,2023-Oct-01 15:15:00.000,4880.164063,0,138326.2656,10.28561497,0,0,53.93085861
2023-Oct-01 10:30:00.000,2023-Oct-01 15:30:00.000,4631.72168,0,138399.0625,17.19173431,0,0,26.55166245
2023-Oct-01 10:45:00.000,2023-Oct-01 15:45:00.000,5112.39502,0,138437.3438,8.904275894,0,0,49.08359909
2023-Oct-01 11:00:00.000,2023-Oct-01 16:00:00.000,4974.080078,0,138322.0313,19.45027924,0,0,28.1685524
