Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,21465.38281,0,13828.79199,834.1311035,0,0,0
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,21775.68164,0,13828.73926,841.9926147,0,0,0
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,21706.62695,0,13828.41309,966.151123,0,0,0
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,21699.01563,0,13828.3418,1067.100708,0,0,0
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,21843.95703,0,13828.4668,1026.064819,0,0,0
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,21716.42969,0,13828.45703,954.8118896,0,0,0
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,21740.52148,0,13828.62793,801.7333984,0,0,0.275539726
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,21840.17969,0,13828.86035,602.9005127,0,0,0
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,21617.53516,0,13829.1709,564.6320801,0,0,0.019278048
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,21461.91992,0,13829.2373,451.2846985,0,0,3.730774403
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,21901.28516,0,13829.42773,610.2581787,0,0,0
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,21626.85742,0,13828.64746,684.1072998,0,0,0.50959003
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,21758.68555,0,13829.27246,501.5317688,0,0,0.13047339
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,21700.8457,0,13829.09668,601.3535767,0,0,0.747427523
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,21687.12305,0,13829.15234,505.3677368,0,0,0.771296382
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,21779.60938,0,13829.35645,402.980072,0,0,1.457727194
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,21641.35938,0,13829.2373,504.3624878,0,0,0
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,21862.18359,0,13828.89258,623.2491455,0,0,0.74916935
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,21868.41797,0,13829.0791,607.7955322,0,0,0
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,21632.35742,0,13829.37207,436.1426086,0,0,0.867417693
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,21720.64258,0,13829.10352,475.4845886,0,0,1.823227525
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,21708.17773,0,13829.56348,307.0347595,0,0,0.389795393
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,21765.29102,0,13829.79492,153.2709198,0,0,23.019104
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,21644.50977,0,13830.13086,35.69624329,0,0,141.4612274
