Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,41.25527954,0,403.1149597,33.54542542,0,0,0
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,42.80116272,0,403.0125427,34.54378891,0,0,0
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,41.24918747,0,403.3242493,33.07226944,0,0,0
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,42.86011124,0,402.7755127,34.32115555,0,0,0
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,41.91265869,0,403.0849304,33.91576385,0,0,0
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,40.72234726,0,403.8837891,32.60582352,0,0,0
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,43.48933029,0,403.5183411,35.27254868,0,0,0
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,41.55384445,0,404.1776428,33.73168564,0,0,0
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,41.08497238,0,404.552063,33.0272522,0,0,0
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,42.91330338,0,404.336731,34.4184761,0,0,0
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,42.83442688,0,404.1105347,34.0016098,0,0,0
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,42.97550583,0,404.0539246,34.36029434,0,0,0
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,42.18681717,0,404.5150757,34.30977249,0,0,0
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,40.47266769,0,404.6822815,32.70055008,0,0,0
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,41.6444664,0,404.6908569,34.15885544,0,0,0
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,43.61187744,0,404.3677979,35.56891632,0,0,0
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,40.59061432,0,404.783844,32.76776123,0,0,0
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,42.85974884,0,404.1131592,34.66547012,0,0,0
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,41.2481575,0,404.5948181,33.56816483,0,0,0
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,41.50387192,0,404.7060852,33.72055435,0,0,0
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,43.36270142,0,404.1956177,35.12911987,0,0,0
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,41.22066879,0,404.9757996,33.09118271,0,0,0
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,43.13348007,0,404.8080444,34.30817032,0,0,0
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,42.10912704,0,405.7052002,33.98865509,0,0,0
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,42.25466156,0,406.9876404,33.67990112,0,0,0
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,41.74465942,0,407.8085632,34.57821655,0,0,0
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,41.29708862,0,408.4115906,34.30274582,0,0,0
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,40.38582993,0,408.9294128,33.80838013,0,0,0
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,42.22188187,0,408.09552,35.25918198,0,0,0
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,42.06183624,0,408.474884,34.84095383,0,0,0
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,41.7713623,0,408.9572144,34.65488052,0,0,0
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,41.67301941,0,408.8398132,34.93561554,0,0,0
2023-Oct-01 08:15:00.000,2023-Oct-01 13:15:00.000,39.89198303,0,408.611145,32.94826508,0,0,0
2023-Oct-01 08:30:00.000,2023-Oct-01 13:30:00.000,43.2611618,0,407.1238403,35.80925751,0,0,0
2023-Oct-01 08:45:00.000,2023-Oct-01 13:45:00.000,42.4716568,0,407.1928101,34.66331863,0,0,0
2023-Oct-01 09:00:00.000,2023-Oct-01 14:00:00.000,41.28229141,0,406.8933105,33.63832474,0,0,0
2023-Oct-01 09:15:00.000,2023-Oct-01 14:15:00.000,42.71718979,0,406.1066589,34.39308929,0,0,0
2023-Oct-01 09:30:00.000,2023-Oct-01 14:30:00.000,41.03415298,0,405.9054871,33.30768967,0,0,0
2023-Oct-01 09:45:00.000,2023-Oct-01 14:45:00.000,41.7068367,0,405.2527466,33.89838028,0,0,0
2023-Oct-01 10:00:00.000,2023-Oct-01 15:00:00.000,41.57102203,0,405.5052185,34.12623978,0,0,0
2023-Oct-01 10:15:00.000,2023-Oct-01 15:15:00.000,39.90514374,0,405.9404297,32.66169357,0,0,0
2023-Oct-01 10:30:00.000,2023-Oct-01 15:30:00.000,40.52340698,0,405.163147,33.17918777,0,0,0
2023-Oct-01 10:45:00.000,2023-Oct-01 15:45:00.000,41.96528244,0,404.3970032,34.44455338,0,0,0
2023-Oct-01 11:00:00.000,2023-Oct-01 16:00:00.000,41.84669876,0,404.4641418,33.95796967,0,0,0
2023-Oct-01 11:15:00.000,2023-Oct-01 16:15:00.000,41.82776642,0,404.3208618,34.4308815,0,0,0
2023-Oct-01 11:30:00.000,2023-Oct-01 16:30:00.000,41.81435394,0,404.1633911,33.51229858,0,0,0
2023-Oct-01 11:45:00.000,2023-Oct-01 16:45:00.000,40.32651901,0,404.3216553,32.61118698,0,0,0
2023-Oct-01 12:00:00.000,2023-Oct-01 17:00:00.000,42.76247787,0,403.8750305,34.61111832,0,0,0
2023-Oct-01 12:15:00.000,2023-Oct-01 17:15:00.000,40.36219025,0,404.1462402,32.4668045,0,0,0
