Local Time,Timestamp,KWh del int,KWh rec int,KVARh Q1 int,KVARh Q2 int,KVARh Q3 int,KVARh Q4 int,Vll prom
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,13415.59961,0,0,0,0,1772.937378,137497.6406
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,13491.88086,0,0,0,0,1801.165527,137695.6406
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,13424.59473,0,0,0,0,1693.552002,137467.7031
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,13194.33984,0,0,0,0,1536.727783,137499.5156
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,13176.70508,0,0,0,0,1558.763306,137431.0938
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,13204.42285,0,0,0,0,1610.112183,137398.8438
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,13081.63574,0,0,0,0,1631.979248,137627.875
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,12960.80176,0,0,0,0,1678.190796,137732.2969
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,13013.87012,0,0,0,0,1672.036133,137615.5938
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,12930.11035,0,0,0,0,1671.596191,137864.7969
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,12833.96191,0,0,0,0,1654.013672,137577.9219
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,12952.50293,0,0,0,0,1633.794922,137726.9375
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,12929.44434,0,0,0,0,1667.988403,137730.9375
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,12786.80078,0,0,0,0,1661.175903,137697.5938
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,12952.27051,0,0,0,0,1742.251221,137751.5625
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,12825.4209,0,0,0,0,1770.077026,137813.8906
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,12854.94043,0,0,0,0,1687.878906,137813.2969
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,12977.29297,0,0,0,0,1671.437256,137570.75
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,12872.74219,0,0,0,0,1669.380737,137808.1563
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,12884.91602,0,0,0,0,1703.641113,137673.0625
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,12858.19141,0,0,0,0,1674.339233,137552.375
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,12845.30762,0,0,0,0,1668.547363,137762.8594
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,12809.78125,0,0,0,0,1713.938965,137486.8906
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,12523.42676,0,0,0,0,1801.967163,138176.1563
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,12258.69531,0,0,0,0,1941.348267,138696.7813
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,11875.19727,0,0,0,0,2111.172363,138832.1563
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,11831.61816,0,0,0,0,2236.964355,139136.0469
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,11946.46484,0,0,0,0,2241.596924,139313.9844
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,12041.43262,0,0,0,0,2158.751953,138699.9688
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,12126.32813,0,0,0,0,2147.907227,138884.4219
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,11981.94824,0,0,0,0,2157.817627,139271.0781
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,11956.61719,0,0,0,0,2131.299072,139187.1719
2023-Oct-01 08:15:00.000,2023-Oct-01 13:15:00.000,11866.27441,0,0,0,0,1925.546509,138828.5469
2023-Oct-01 08:30:00.000,2023-Oct-01 13:30:00.000,12007.80762,0,0,0,0,1718.415527,138495.6563
2023-Oct-01 08:45:00.000,2023-Oct-01 13:45:00.000,12213.55469,0,0,0,0,1729.047119,138335.6094
2023-Oct-01 09:00:00.000,2023-Oct-01 14:00:00.000,12111.82715,0,0,0,0,1732.633423,138506.7188
2023-Oct-01 09:15:00.000,2023-Oct-01 14:15:00.000,12166.75195,0,0,0,0,1639.261597,138842.9844
2023-Oct-01 09:30:00.000,2023-Oct-01 14:30:00.000,12361.49707,0,0,0,0,1592.178833,138333.9063
2023-Oct-01 09:45:00.000,2023-Oct-01 14:45:00.000,12361.71875,0,0,0,0,1540.547729,138353.4063
2023-Oct-01 10:00:00.000,2023-Oct-01 15:00:00.000,12253.7002,0,0,0,0,1544.63562,138296.5313
2023-Oct-01 10:15:00.000,2023-Oct-01 15:15:00.000,12407.7207,0,0,0,0,1563.005005,138347.2969
2023-Oct-01 10:30:00.000,2023-Oct-01 15:30:00.000,12260.42676,0,0,0,0,1544.573364,138367.5313
2023-Oct-01 10:45:00.000,2023-Oct-01 15:45:00.000,12283.54883,0,0,0,0,1505.224243,138269.1563
2023-Oct-01 11:00:00.000,2023-Oct-01 16:00:00.000,12315.56543,0,0,0,0,1519.870117,138339.0625
2023-Oct-01 11:15:00.000,2023-Oct-01 16:15:00.000,12244.24805,0,0,0,0,1504.941406,138205.2188
2023-Oct-01 11:30:00.000,2023-Oct-01 16:30:00.000,12351.37695,0,0,0,0,1477.631836,137968.9375
2023-Oct-01 11:45:00.000,2023-Oct-01 16:45:00.000,12294.09473,0,0,0,0,1448.264282,138039.0313
2023-Oct-01 12:00:00.000,2023-Oct-01 17:00:00.000,12314.07227,0,0,0,0,1454.126709,138246.6875
2023-Oct-01 12:15:00.000,2023-Oct-01 17:15:00.000,12504.28516,0,0,0,0,1431.39624,138080.3906
2023-Oct-01 12:30:00.000,2023-Oct-01 17:30:00.000,12360.82617,0,0,0,0,1415.348267,138163.125
2023-Oct-01 12:45:00.000,2023-Oct-01 17:45:00.000,12442.62109,0,0,0,0,1424.438843,138301.1406
2023-Oct-01 13:00:00.000,2023-Oct-01 18:00:00.000,12431.04492,0,0,0,0,1450.278442,138439.2656
2023-Oct-01 13:15:00.000,2023-Oct-01 18:15:00.000,12014.68359,0,0,0,0,1503.231934,138320.5625
2023-Oct-01 13:30:00.000,2023-Oct-01 18:30:00.000,12172.59961,0,0,0,0,1464.707275,138351.4375
2023-Oct-01 13:45:00.000,2023-Oct-01 18:45:00.000,12178.32715,0,0,0,0,1429.312622,138113.625
2023-Oct-01 14:00:00.000,2023-Oct-01 19:00:00.000,12261.31348,0,0,0,0,1428.764526,138400.2031
2023-Oct-01 14:15:00.000,2023-Oct-01 19:15:00.000,12249.59277,0,0,0,0,1423.932129,138349.5
2023-Oct-01 14:30:00.000,2023-Oct-01 19:30:00.000,12201.08594,0,0,0,0,1401.048828,138363.125
2023-Oct-01 14:45:00.000,2023-Oct-01 19:45:00.000,12341.53613,0,0,0,0,1389.84729,138228.9688
2023-Oct-01 15:00:00.000,2023-Oct-01 20:00:00.000,12257.12109,0,0,0,0,1383.657104,138164.5313
2023-Oct-01 15:15:00.000,2023-Oct-01 20:15:00.000,12287.27441,0,0,0,0,1394.608643,138158.5
2023-Oct-01 15:30:00.000,2023-Oct-01 20:30:00.000,12561.75488,0,0,0,0,1487.706177,138171.6719
2023-Oct-01 15:45:00.000,2023-Oct-01 20:45:00.000,12372.65332,0,0,0,0,1494.162842,138003.3438
2023-Oct-01 16:00:00.000,2023-Oct-01 21:00:00.000,13036.04297,0,0,0,0,1361.779785,137658.875
2023-Oct-01 16:15:00.000,2023-Oct-01 21:15:00.000,12923.73633,0,0,0,0,1366.912964,137744.375
2023-Oct-01 16:30:00.000,2023-Oct-01 21:30:00.000,12964.59473,0,0,0,0,1582.440063,137772.3125
2023-Oct-01 16:45:00.000,2023-Oct-01 21:45:00.000,13308.75391,0,0,0,0,1520.940308,137599.2031
2023-Oct-01 17:00:00.000,2023-Oct-01 22:00:00.000,13102.00586,0,0,0,0,1606.3396,138182
2023-Oct-01 17:15:00.000,2023-Oct-01 22:15:00.000,12793.09082,0,0,0,0,1710.208252,138134.3594
2023-Oct-01 17:30:00.000,2023-Oct-01 22:30:00.000,12962.18262,0,0,0,0,1669.003662,137868.9063
2023-Oct-01 17:45:00.000,2023-Oct-01 22:45:00.000,13340.84375,0,0,0,0,1585.228027,137859.5
2023-Oct-01 18:00:00.000,2023-Oct-01 23:00:00.000,13639.45703,0,0,0,0,1408.678833,137642.0781
2023-Oct-01 18:15:00.000,2023-Oct-01 23:15:00.000,14117.77832,0,0,0,0,1275.48645,137436.875
2023-Oct-01 18:30:00.000,2023-Oct-01 23:30:00.000,14158.57813,0,0,0,0,1250.877441,137539.5313
2023-Oct-01 18:45:00.000,2023-Oct-01 23:45:00.000,14205.86035,0,0,0,0,1207.944092,137596.1875
2023-Oct-01 19:00:00.000,2023-Oct-02 00:00:00.000,14228.82813,0,0,0,0,1188.182373,137248.1094
2023-Oct-01 19:15:00.000,2023-Oct-02 00:15:00.000,14427.96777,0,0,0,0,1199.817017,137411.3281
2023-Oct-01 19:30:00.000,2023-Oct-02 00:30:00.000,14373.32227,0,0,0,0,1174.202271,137447.75
2023-Oct-01 19:45:00.000,2023-Oct-02 00:45:00.000,14368.88281,0,0,0,0,1164.150757,137372.2969
2023-Oct-01 20:00:00.000,2023-Oct-02 01:00:00.000,14370.62793,0,0,0,0,1189.409546,137401.5938
2023-Oct-01 20:15:00.000,2023-Oct-02 01:15:00.000,14444.46484,0,0,0,0,1194.632324,137133.6094
2023-Oct-01 20:30:00.000,2023-Oct-02 01:30:00.000,14343.22363,0,0,0,0,1315.860352,137144.8438
2023-Oct-01 20:45:00.000,2023-Oct-02 01:45:00.000,14349.7041,0,0,0,0,1387.328613,137217.7344
2023-Oct-01 21:00:00.000,2023-Oct-02 02:00:00.000,14275.64063,0,0,0,0,1460.144409,137468.2813
2023-Oct-01 21:15:00.000,2023-Oct-02 02:15:00.000,14177.67676,0,0,0,0,1409.61145,137494.6875
2023-Oct-01 21:30:00.000,2023-Oct-02 02:30:00.000,14083.09277,0,0,0,0,1445.353149,137429.875
2023-Oct-01 21:45:00.000,2023-Oct-02 02:45:00.000,13984.29297,0,0,0,0,1578.257568,137615.0469
2023-Oct-01 22:00:00.000,2023-Oct-02 03:00:00.000,13773.4668,0,0,0,0,1663.454102,137289.1563
