Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,1661.416016,0,137744.8906,0,0,0,182.8993988
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,1613.293701,0,137738.4063,0,0,0,193.8795471
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,1573.868774,0,137691.8125,0,0,0,204.3899078
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,1560.251587,0,137618.3281,0,0,0,203.0431824
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,1541.674316,0,137657.4688,0,0,0,209.9160767
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,1507.362915,0,137676.9375,0,0,0,233.5800934
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,1490.905762,0,137751.2031,0,0,0,246.0399475
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,1479.865723,0,137860.625,0,0,0,241.2344055
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,1462.150635,0,137886.1563,0,0,0,250.6600037
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,1426.744385,0,137943.0156,0,0,0,251.8488159
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,1433.848511,0,137876.7344,0,0,0,246.2858276
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,1424.728638,0,137823.1406,0,0,0,256.1225586
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,1410.854614,0,137918.9375,0,0,0,264.4719543
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,1409.101318,0,137874.5781,0,0,0,260.0301819
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,1385.456543,0,137912.7344,0,0,0,275.3957825
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,1397.989746,0,137973.7188,0,0,0,269.1901855
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,1427.289917,0,137923.7969,0,0,0,258.7406921
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,1436.413574,0,137863.8281,0,0,0,257.9916077
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,1431.259155,0,137861.2344,0,0,0,268.1382141
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,1449.444702,0,137958.75,0,0,0,261.5480347
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,1479.19165,0,137936.5313,0,0,0,258.1615601
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,1506.45459,0,138011.9844,0,0,0,255.958786
