Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,1276.426147,0,61677.00391,0,0,0,349.1673889
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,1239.061523,0,61694.375,0,0,0,351.5189819
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,1209.178589,0,61689.85156,0,0,0,352.5697632
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,1194.225586,0,61654.99609,0,0,0,356.7011414
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,1176.903076,0,61684.69141,0,0,0,359.8512878
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,1154.302246,0,61739.63281,0,0,0,374.0386047
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,1134.988037,0,61793.16406,0,0,0,390.5038757
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,1126.252686,0,61832.03906,0,0,0,387.1333313
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,1111.704102,0,61860.48438,0,0,0,388.1005859
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,1083.61853,0,61886.10156,0,0,0,387.3608398
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,1084.720947,0,61844.17969,0,0,0,386.5676575
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,1073.706787,0,61842.13281,0,0,0,393.3195496
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,1066.846069,0,61900.39453,0,0,0,396.8832397
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,1059.074463,0,61870.08594,0,0,0,396.8394775
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,1034.990112,0,61916.36328,0,0,0,410.3435974
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,1045.038818,0,61930.89844,0,0,0,402.7154236
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,1068.490967,0,61890.32031,0,0,0,397.7419434
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,1074.662964,0,61862.69922,0,0,0,400.1883545
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,1078.861084,0,61881.53516,0,0,0,401.4455872
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,1085.769653,0,61910.65625,0,0,0,401.2160645
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,1102.476563,0,61895.45313,0,0,0,407.2236633
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,1133.752686,0,61927.625,0,0,0,400.6647034
