Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,22002.42188,0,137621.0156,0,0,0,3956.935547
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,21429.35938,0,137623.2188,0,0,0,3938.646484
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,21099.89844,0,137557.375,0,0,0,3735.816162
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,21616.33594,0,137505.5625,0,0,0,3642.525391
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,21403.51367,0,137530.375,0,0,0,3636.162354
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,20880.67383,0,137563.5625,0,0,0,3702.510498
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,20969.75391,0,137642.7656,0,0,0,3760.470459
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,21081.50977,0,137747.1719,0,0,0,3827.917969
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,20509.75391,0,137764.3594,0,0,0,3708.863525
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,20515.63086,0,137819.5156,0,0,0,3729.113525
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,21376.25391,0,137750.5,0,0,0,3841.844482
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,20820.34766,0,137699.8281,0,0,0,3737.797852
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,20745.20703,0,137800,0,0,0,3764.798096
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,21422.22852,0,137747.7656,0,0,0,3884.36377
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,20368.80078,0,137796.0938,0,0,0,3890.707275
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,20816.25391,0,137852.2813,0,0,0,3961.532959
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,21228.68164,0,137795.4063,0,0,0,3840.006348
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,21082.03516,0,137738.75,0,0,0,3794.56543
2023-Oct-01 04:45:00.000,2023-Oct-01 09:45:00.000,21371.95117,0,137747.4063,0,0,0,3865.520996
2023-Oct-01 05:00:00.000,2023-Oct-01 10:00:00.000,20604.48633,0,137831.6875,0,0,0,3776.7854
2023-Oct-01 05:15:00.000,2023-Oct-01 10:15:00.000,21160.02539,0,137812.4063,0,0,0,3805.368408
2023-Oct-01 05:30:00.000,2023-Oct-01 10:30:00.000,21222.74805,0,137900.1563,0,0,0,3768.091553
2023-Oct-01 05:45:00.000,2023-Oct-01 10:45:00.000,20832.37305,0,137992.3438,0,0,0,3765.871338
2023-Oct-01 06:00:00.000,2023-Oct-01 11:00:00.000,20493.5,0,138111.4531,0,0,0,3960.275635
2023-Oct-01 06:15:00.000,2023-Oct-01 11:15:00.000,19764.46094,0,138399.7813,0,0,0,4112.599609
2023-Oct-01 06:30:00.000,2023-Oct-01 11:30:00.000,18616.58594,0,138771.3906,0,0,0,4174.859375
2023-Oct-01 06:45:00.000,2023-Oct-01 11:45:00.000,19041.08203,0,139036.5938,0,0,0,4291.152832
2023-Oct-01 07:00:00.000,2023-Oct-01 12:00:00.000,19473.80859,0,139119.4844,0,0,0,4273.602539
2023-Oct-01 07:15:00.000,2023-Oct-01 12:15:00.000,19915.78711,0,138906.0313,0,0,0,4232.077148
2023-Oct-01 07:30:00.000,2023-Oct-01 12:30:00.000,19523.90234,0,138916.3125,0,0,0,4227.746094
2023-Oct-01 07:45:00.000,2023-Oct-01 12:45:00.000,19159.73047,0,139107.6719,0,0,0,4113.513184
2023-Oct-01 08:00:00.000,2023-Oct-01 13:00:00.000,19606.7832,0,139127.0469,0,0,0,4055.263916
2023-Oct-01 08:15:00.000,2023-Oct-01 13:15:00.000,19888.28906,0,138927.4063,0,0,0,3724.87207
2023-Oct-01 08:30:00.000,2023-Oct-01 13:30:00.000,19987.43164,0,138729.5156,0,0,0,3405.522949
2023-Oct-01 08:45:00.000,2023-Oct-01 13:45:00.000,20499.92969,0,138675.9844,0,0,0,3480.983154
2023-Oct-01 09:00:00.000,2023-Oct-01 14:00:00.000,20509.43164,0,138647.9063,0,0,0,3463.95459
2023-Oct-01 09:15:00.000,2023-Oct-01 14:15:00.000,20338.64844,0,138547.6875,0,0,0,3295.170166
2023-Oct-01 09:30:00.000,2023-Oct-01 14:30:00.000,20580.74414,0,138426.4063,0,0,0,3251.903076
2023-Oct-01 09:45:00.000,2023-Oct-01 14:45:00.000,20798.53906,0,138344.3594,0,0,0,3189.039063
2023-Oct-01 10:00:00.000,2023-Oct-01 15:00:00.000,20839.54492,0,138380.4219,0,0,0,3227.02002
2023-Oct-01 10:15:00.000,2023-Oct-01 15:15:00.000,20252.54883,0,138389.9063,0,0,0,3190.500244
2023-Oct-01 10:30:00.000,2023-Oct-01 15:30:00.000,20304.39844,0,138375.6406,0,0,0,3146.403076
2023-Oct-01 10:45:00.000,2023-Oct-01 15:45:00.000,19956.43164,0,138330.7344,0,0,0,3007.642578
2023-Oct-01 11:00:00.000,2023-Oct-01 16:00:00.000,20094.37891,0,138304.4375,0,0,0,3101.442871
2023-Oct-01 11:15:00.000,2023-Oct-01 16:15:00.000,20478.97461,0,138291.0781,0,0,0,3119.237549
2023-Oct-01 11:30:00.000,2023-Oct-01 16:30:00.000,20076.69141,0,138236.2344,0,0,0,3019.263184
2023-Oct-01 11:45:00.000,2023-Oct-01 16:45:00.000,20543.61523,0,138235.5625,0,0,0,3043.212891
2023-Oct-01 12:00:00.000,2023-Oct-01 17:00:00.000,20135.44141,0,138314.4688,0,0,0,2919.979492
2023-Oct-01 12:15:00.000,2023-Oct-01 17:15:00.000,20805.22656,0,138238.1094,0,0,0,2923.513184
2023-Oct-01 12:30:00.000,2023-Oct-01 17:30:00.000,20897.61719,0,138263.4063,0,0,0,2891.898193
2023-Oct-01 12:45:00.000,2023-Oct-01 17:45:00.000,20665.44141,0,138298.9219,0,0,0,2827.943115
2023-Oct-01 13:00:00.000,2023-Oct-01 18:00:00.000,20252.07422,0,138378.25,0,0,0,2800.769775
2023-Oct-01 13:15:00.000,2023-Oct-01 18:15:00.000,19805.50781,0,138609.6875,0,0,0,2837.508545
2023-Oct-01 13:30:00.000,2023-Oct-01 18:30:00.000,20256.75195,0,138475.1094,0,0,0,2849.632568
2023-Oct-01 13:45:00.000,2023-Oct-01 18:45:00.000,20361.52539,0,138408.5938,0,0,0,2826.677002
2023-Oct-01 14:00:00.000,2023-Oct-01 19:00:00.000,20205.66797,0,138368.9063,0,0,0,2808.981934
2023-Oct-01 14:15:00.000,2023-Oct-01 19:15:00.000,20272.59766,0,138365.7031,0,0,0,2798.244141
2023-Oct-01 14:30:00.000,2023-Oct-01 19:30:00.000,20136.97656,0,138379.0781,0,0,0,2756.199219
2023-Oct-01 14:45:00.000,2023-Oct-01 19:45:00.000,20349.66992,0,138273,0,0,0,2775.304199
2023-Oct-01 15:00:00.000,2023-Oct-01 20:00:00.000,20524.31836,0,138330.25,0,0,0,2789.094727
2023-Oct-01 15:15:00.000,2023-Oct-01 20:15:00.000,20250.44336,0,138254.4219,0,0,0,2837.887451
2023-Oct-01 15:30:00.000,2023-Oct-01 20:30:00.000,20328.6543,0,138222.6875,0,0,0,3000.689941
2023-Oct-01 15:45:00.000,2023-Oct-01 20:45:00.000,20800.27148,0,138243.6875,0,0,0,3127.329834
2023-Oct-01 16:00:00.000,2023-Oct-01 21:00:00.000,21270.36133,0,137872.5938,0,0,0,3007.572021
2023-Oct-01 16:15:00.000,2023-Oct-01 21:15:00.000,22088.11328,0,137798.3594,0,0,0,3228.245361
2023-Oct-01 16:30:00.000,2023-Oct-01 21:30:00.000,22223.64063,0,137875.0781,0,0,0,3565.121094
2023-Oct-01 16:45:00.000,2023-Oct-01 21:45:00.000,22138.91406,0,137697.2656,0,0,0,3451.568359
2023-Oct-01 17:00:00.000,2023-Oct-01 22:00:00.000,21986.57813,0,137992.5313,0,0,0,3529.198486
2023-Oct-01 17:15:00.000,2023-Oct-01 22:15:00.000,22265.87109,0,138270.5781,0,0,0,3631.627197
2023-Oct-01 17:30:00.000,2023-Oct-01 22:30:00.000,21975.72461,0,138152.2031,0,0,0,3537.830322
2023-Oct-01 17:45:00.000,2023-Oct-01 22:45:00.000,22221.23633,0,137973.8438,0,0,0,3371.155762
2023-Oct-01 18:00:00.000,2023-Oct-01 23:00:00.000,23899.125,0,137798.6875,0,0,0,3174.057129
2023-Oct-01 18:15:00.000,2023-Oct-01 23:15:00.000,24462.52734,0,137573.3125,0,0,0,2930.471924
2023-Oct-01 18:30:00.000,2023-Oct-01 23:30:00.000,24351.375,0,137622.1875,0,0,0,2798.387207
2023-Oct-01 18:45:00.000,2023-Oct-01 23:45:00.000,25042.00977,0,137602.5938,0,0,0,2814.56665
2023-Oct-01 19:00:00.000,2023-Oct-02 00:00:00.000,25062.7207,0,137522.5938,0,0,0,2826.547607
2023-Oct-01 19:15:00.000,2023-Oct-02 00:15:00.000,24908.57813,0,137505.8594,0,0,0,2797.286133
2023-Oct-01 19:30:00.000,2023-Oct-02 00:30:00.000,24944.85352,0,137472.3125,0,0,0,2794.49707
2023-Oct-01 19:45:00.000,2023-Oct-02 00:45:00.000,25279.35547,0,137406.4375,0,0,0,2855.714844
2023-Oct-01 20:00:00.000,2023-Oct-02 01:00:00.000,25015.39453,0,137445.375,0,0,0,2858.674316
2023-Oct-01 20:15:00.000,2023-Oct-02 01:15:00.000,24847.48633,0,137318.375,0,0,0,2928.302979
2023-Oct-01 20:30:00.000,2023-Oct-02 01:30:00.000,25384.07813,0,137279.75,0,0,0,3291.29541
2023-Oct-01 20:45:00.000,2023-Oct-02 01:45:00.000,24791.95313,0,137343.9844,0,0,0,3351.364258
2023-Oct-01 21:00:00.000,2023-Oct-02 02:00:00.000,24302.64453,0,137402.2031,0,0,0,3415.994629
2023-Oct-01 21:15:00.000,2023-Oct-02 02:15:00.000,24508.41016,0,137378.6563,0,0,0,3357.459717
2023-Oct-01 21:30:00.000,2023-Oct-02 02:30:00.000,24442.00195,0,137487.1094,0,0,0,3420.257568
2023-Oct-01 21:45:00.000,2023-Oct-02 02:45:00.000,23606.91797,0,137649.7188,0,0,0,3513.7229
2023-Oct-01 22:00:00.000,2023-Oct-02 03:00:00.000,23344.61133,0,137746.4844,0,0,0,3686.012207
2023-Oct-01 22:15:00.000,2023-Oct-02 03:15:00.000,22680.35938,0,137929.9063,0,0,0,3804.933105
2023-Oct-01 22:30:00.000,2023-Oct-02 03:30:00.000,21865.02539,0,138079.2656,0,0,0,3905.518799
2023-Oct-01 22:45:00.000,2023-Oct-02 03:45:00.000,21518.61133,0,138195.1719,0,0,0,3994.651855
2023-Oct-01 23:00:00.000,2023-Oct-02 04:00:00.000,21234.83789,0,138110.3125,0,0,0,3899.997803
2023-Oct-01 23:15:00.000,2023-Oct-02 04:15:00.000,20908.85938,0,138057.125,0,0,0,3850.98584
2023-Oct-01 23:30:00.000,2023-Oct-02 04:30:00.000,20955.07227,0,138074.5625,0,0,0,3849.254395
