Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Oct-01 00:15:00.000,2023-Oct-01 05:15:00.000,0,0,401.1134644,0,0,0,0
2023-Oct-01 00:30:00.000,2023-Oct-01 05:30:00.000,0,0,401.1064453,0,0,0,0
2023-Oct-01 00:45:00.000,2023-Oct-01 05:45:00.000,0,0,401.0960693,0,0,0,0
2023-Oct-01 01:00:00.000,2023-Oct-01 06:00:00.000,0,0,401.0910645,0,0,0,0
2023-Oct-01 01:15:00.000,2023-Oct-01 06:15:00.000,0,0,401.0840759,0,0,0,0
2023-Oct-01 01:30:00.000,2023-Oct-01 06:30:00.000,0,0,401.0925903,0,0,0,0
2023-Oct-01 01:45:00.000,2023-Oct-01 06:45:00.000,0,0,401.103241,0,0,0,0
2023-Oct-01 02:00:00.000,2023-Oct-01 07:00:00.000,0,0,401.1062622,0,0,0,0
2023-Oct-01 02:15:00.000,2023-Oct-01 07:15:00.000,0,0,401.1156921,0,0,0,0
2023-Oct-01 02:30:00.000,2023-Oct-01 07:30:00.000,0,0,401.1134949,0,0,0,0
2023-Oct-01 02:45:00.000,2023-Oct-01 07:45:00.000,0,0,401.1186523,0,0,0,0
2023-Oct-01 03:00:00.000,2023-Oct-01 08:00:00.000,0,0,401.1010742,0,0,0,0
2023-Oct-01 03:15:00.000,2023-Oct-01 08:15:00.000,0,0,401.1227417,0,0,0,0
2023-Oct-01 03:30:00.000,2023-Oct-01 08:30:00.000,0,0,401.1120605,0,0,0,0
2023-Oct-01 03:45:00.000,2023-Oct-01 08:45:00.000,0,0,401.1235352,0,0,0,0
2023-Oct-01 04:00:00.000,2023-Oct-01 09:00:00.000,0,0,401.1210022,0,0,0,0
2023-Oct-01 04:15:00.000,2023-Oct-01 09:15:00.000,0,0,401.1129761,0,0,0,0
2023-Oct-01 04:30:00.000,2023-Oct-01 09:30:00.000,0,0,401.1018982,0,0,0,0
